["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9270007881854988e+14 9.5469541336770725e-01 9.4097710315996161e-02
1.9283143538216169e+14 9.5527870830818773e-01 4.4411472786553191e-01
1.9296279194577353e+14 9.5585092105035607e-01 7.9477678837565380e-01
1.9309414850938534e+14 9.5641221759503625e-01 1.1460825941362480e+00
1.9322550507299719e+14 9.5696264891308014e-01 1.4980308610989002e+00
1.9335686163660900e+14 9.5750214892492591e-01 1.8506202356526429e+00
1.9348821820022084e+14 9.5803058085616921e-01 2.2038492265574012e+00
1.9361957476383266e+14 9.5854781464730709e-01 2.5577161790156917e+00
1.9375093132744450e+14 9.5905380615088287e-01 2.9122193022032001e+00
1.9388228789105631e+14 9.5954864777470894e-01 3.2673567416221392e+00
1.9401364445466816e+14 9.6003257044794987e-01 3.6231266707887833e+00
1.9414500101827997e+14 9.6050589455624125e-01 3.9795273692125837e+00
1.9427635758189181e+14 9.6096894629940921e-01 4.3365572581823537e+00
1.9440771414550362e+14 9.6142196887353215e-01 4.6942148808847524e+00
1.9453907070911547e+14 9.6186506022930962e-01 5.0524988333824474e+00
1.9467042727272728e+14 9.6229816004098578e-01 5.4114076706933290e+00
("port 3","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9217465256410256e+14 2.7068427901577702e-01 -2.1465941226578980e+00
1.9230600912771438e+14 2.6864895481911538e-01 -1.6377126173253100e+00
1.9243736569132622e+14 2.6662321804545475e-01 -1.1278638548802680e+00
1.9256872225493803e+14 2.6460572927301390e-01 -6.1704495798400505e-01
1.9270007881854988e+14 2.6259485793488646e-01 -1.0525744949961049e-01
1.9283143538216169e+14 2.6058950513478385e-01 4.0749330674535028e-01
1.9296279194577353e+14 2.5858954029047854e-01 9.2120051233284039e-01
1.9309414850938534e+14 2.5659566500334213e-01 1.4358586935009945e+00
1.9322550507299719e+14 2.5460885519361864e-01 1.9514652447348679e+00
1.9335686163660900e+14 2.5262975863213161e-01 2.4680200258457452e+00
1.9348821820022084e+14 2.5065841314912563e-01 2.9855234996332700e+00
1.9361957476383266e+14 2.4869442125921892e-01 3.5039747499286493e+00
1.9375093132744450e+14 2.4673741968977633e-01 4.0233707012447404e+00
1.9388228789105631e+14 2.4478750282764225e-01 4.5437070087661962e+00
1.9401364445466816e+14 2.4284530501973917e-01 5.0649799546727152e+00
1.9414500101827997e+14 2.4091168301163920e-01 5.5871880001878402e+00
1.9427635758189181e+14 2.3898721219654914e-01 6.1103318475812634e+00
1.9440771414550362e+14 2.3707184247284338e-01 6.6344128422277713e+00
1.9453907070911547e+14 2.3516496441420121e-01 7.1594306731549819e+00
1.9467042727272728e+14 2.3326587170006458e-01 7.6853818773419320e+00
("port 3","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9217465256410256e+14 5.2158552206668365e-03 -4.8121727935201747e-01
1.9230600912771438e+14 5.0896538877411553e-03 6.0370817340294432e-02
1.9243736569132622e+14 5.2812270381941235e-03 5.6340138585499866e-01
1.9256872225493803e+14 5.5891875949654578e-03 1.0070208356164481e+00
1.9270007881854988e+14 5.8373288219524212e-03 1.3996846326481780e+00
1.9283143538216169e+14 5.9176424411252811e-03 1.7579417749963433e+00
1.9296279194577353e+14 5.7829758257576802e-03 2.0967911661482477e+00
1.9309414850938534e+14 5.4317697118213106e-03 2.4287301061788336e+00
1.9322550507299719e+14 4.8966942114524840e-03 2.7653811207734331e+00
1.9335686163660900e+14 4.2372548829123138e-03 3.1195846494947594e+00
1.9348821820022084e+14 3.5347050397425820e-03 3.5071381365194729e+00
1.9361957476383266e+14 2.8860513234355211e-03 3.9454611936666342e+00
1.9375093132744450e+14 2.3867701145250174e-03 4.4407852282262494e+00
1.9388228789105631e+14 2.0839418012896767e-03 4.9601134701226224e+00
1.9401364445466816e+14 1.9235090905699885e-03 5.4299344617715732e+00
1.9414500101827997e+14 1.7837476940615901e-03 5.7853797588391878e+00
1.9427635758189181e+14 1.5836509751477512e-03 5.9759458421019280e+00
1.9440771414550362e+14 1.3937950394215970e-03 5.9198774180530096e+00
1.9453907070911547e+14 1.5318315836593886e-03 5.6340354290192849e+00
1.9467042727272728e+14 2.2327038340893899e-03 5.4588602149834253e+00
("port 3","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9217465256410256e+14 2.1739767591298100e-03 2.6891262394491879e+00
1.9230600912771438e+14 2.2201362688318146e-03 3.2985106878505164e+00
1.9243736569132622e+14 2.2596527102986658e-03 3.9133550344180232e+00
1.9256872225493803e+14 2.2918889355767287e-03 4.5332183436731501e+00
1.9270007881854988e+14 2.3164603904513997e-03 5.1576867550283723e+00
1.9283143538216169e+14 2.3332197621895772e-03 5.7863647817167108e+00
1.9296279194577353e+14 2.3422297494631590e-03 6.4188659748329311e+00
1.9309414850938534e+14 2.3437225392573860e-03 7.0548045350271078e+00
1.9322550507299719e+14 2.3380483770017563e-03 7.6937879975498911e+00
1.9335686163660900e+14 2.3256192591116303e-03 8.3354107894948761e+00
1.9348821820022084e+14 2.3068554318312739e-03 8.9792490583593185e+00
1.9361957476383266e+14 2.2821414484952784e-03 9.6248579762718158e+00
1.9375093132744450e+14 2.2517958917312826e-03 1.0271772917309326e+01
1.9388228789105631e+14 2.2160561084223584e-03 1.0919515052387439e+01
1.9401364445466816e+14 2.1750776189151015e-03 1.1567600220737040e+01
1.9414500101827997e+14 2.1289472880659348e-03 1.2215548178707921e+01
1.9427635758189181e+14 2.0777089356034634e-03 1.2862888386696598e+01
1.9440771414550362e+14 2.0213987760583428e-03 1.3509158899567163e+01
1.9453907070911547e+14 1.9600857746041524e-03 1.4153896548830714e+01
1.9467042727272728e+14 1.8939098235183746e-03 1.4796618755691767e+01
("port 4","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.9217465256410256e+14 2.7136922488563381e-01 1.6066499015741620e+00
1.9230600912771438e+14 2.6931597508917615e-01 2.0658361245360228e+00
1.9243736569132622e+14 2.6727033294257085e-01 2.5258896652368623e+00
1.9256872225493803e+14 2.6523246383097898e-01 2.9868083939734449e+00
1.9270007881854988e+14 2.6320257360756283e-01 3.4485902421781223e+00
1.9283143538216169e+14 2.6118089154406599e-01 3.9112332791437288e+00
1.9296279194577353e+14 2.5916764552676108e-01 4.3747357436060508e+00
1.9309414850938534e+14 2.5716303808902624e-01 4.8390960197349315e+00
1.9322550507299719e+14 2.5516723136992542e-01 5.3043125673193581e+00
1.9335686163660900e+14 2.5318034563935887e-01 5.7703838323921639e+00
1.9348821820022084e+14 2.5120247095843418e-01 6.2373081712272089e+00
1.9361957476383266e+14 2.4923368674048021e-01 6.7050838151062537e+00
1.9375093132744450e+14 2.4727408119787136e-01 7.1737088876257209e+00
1.9388228789105631e+14 2.4532376288660465e-01 7.6431814663616660e+00
1.9401364445466816e+14 2.4338285965836465e-01 8.1134996638442427e+00
1.9414500101827997e+14 2.4145150511933339e-01 8.5846616952005839e+00
1.9427635758189181e+14 2.3952981739711679e-01 9.0566659043284545e+00
1.9440771414550362e+14 2.3761787791986369e-01 9.5295107354028534e+00
1.9453907070911547e+14 2.3571571798521065e-01 1.0003194656442435e+01
1.9467042727272728e+14 2.3382331815993090e-01 1.0477716059292806e+01
("port 4","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.9217465256410256e+14 9.2163113253359430e-01 -2.4105806722940328e+00
1.9230600912771438e+14 9.2737077011576619e-01 -1.7936075464639025e+00
1.9243736569132622e+14 9.3362505933010820e-01 -1.1743690639968500e+00
1.9256872225493803e+14 9.4020012639994144e-01 -5.5281073416075954e-01
1.9270007881854988e+14 9.4689799415260334e-01 7.1076791149621399e-02
1.9283143538216169e+14 9.5352604201902280e-01 6.9726210105433040e-01
1.9296279194577353e+14 9.5990442997091041e-01 1.3256802090916053e+00
1.9309414850938534e+14 9.6587054721594912e-01 1.9562405226749489e+00
1.9322550507299719e+14 9.7128082323032305e-01 2.5888336234484952e+00
1.9335686163660900e+14 9.7601124660302085e-01 3.2233358447131399e+00
1.9348821820022084e+14 9.7995810147777362e-01 3.8596119645996381e+00
1.9361957476383266e+14 9.8303968770324268e-01 4.4975172807160906e+00
1.9375093132744450e+14 9.8519863495464255e-01 5.1369003836356466e+00
1.9388228789105631e+14 9.8640360377113268e-01 5.7776071410175067e+00
1.9401364445466816e+14 9.8664921801596062e-01 6.4194852984591693e+00
1.9414500101827997e+14 9.8595395796966823e-01 7.0623884280370142e+00
1.9427635758189181e+14 9.8435687307809361e-01 7.7061781603275117e+00
1.9440771414550362e+14 9.8191458624131434e-01 8.3507246034947524e+00
1.9453907070911547e+14 9.7869972311616582e-01 8.9959059676666406e+00
1.9467042727272728e+14 9.7480079758455729e-01 9.6416089419355586e+00
("port 4","mode 1",1,"port 3",1,"transmission")
(20, 3)
1.9217465256410256e+14 1.8604529634925519e-03 2.8086242239052144e+00
1.9230600912771438e+14 1.8578271170992442e-03 3.3990274084366479e+00
1.9243736569132622e+14 1.8538061881076837e-03 3.9920014958449230e+00
1.9256872225493803e+14 1.8485796587900207e-03 4.5875731591648492e+00
1.9270007881854988e+14 1.8423910552773501e-03 5.1857592039271792e+00
1.9283143538216169e+14 1.8355295836298871e-03 5.7865566959301376e+00
1.9296279194577353e+14 1.8283152744587906e-03 6.3899332682097487e+00
1.9309414850938534e+14 1.8210801254396379e-03 6.9958193601046643e+00
1.9322550507299719e+14 1.8141477663897458e-03 7.6041038961741547e+00
1.9335686163660900e+14 1.8078137227199845e-03 8.2146343972992515e+00
1.9348821820022084e+14 1.8023278304837385e-03 8.8272218028981158e+00
1.9361957476383266e+14 1.7978800530627208e-03 9.4416494875632626e+00
1.9375093132744450e+14 1.7945909045917964e-03 1.0057685214264902e+01
1.9388228789105631e+14 1.7925076805153542e-03 1.0675094214530482e+01
1.9401364445466816e+14 1.7916073888348510e-03 1.1293651339584724e+01
1.9414500101827997e+14 1.7918064080665931e-03 1.1913150364813012e+01
1.9427635758189181e+14 1.7929754815068501e-03 1.2533409074580769e+01
1.9440771414550362e+14 1.7949570476100763e-03 1.3154269646146528e+01
1.9453907070911547e+14 1.7975807166199544e-03 1.3775594940041751e+01
1.9467042727272728e+14 1.8006725808410653e-03 1.4397262362483517e+01
("port 4","mode 1",1,"port 4",1,"transmission")
(20, 3)
1.9217465256410256e+14 8.4284472319634558e-03 2.9771728514022571e+00
1.9230600912771438e+14 9.0036021167129617e-03 3.3188063297866979e+00
1.9243736569132622e+14 8.7394286204090874e-03 3.7055014448299133e+00
1.9256872225493803e+14 7.7854243986373167e-03 4.1429617716349449e+00
1.9270007881854988e+14 6.4298564985637002e-03 4.6536426731377283e+00
1.9283143538216169e+14 5.0898477442031945e-03 5.2766829543976321e+00
1.9296279194577353e+14 4.2440258827465636e-03 6.0272142103140389e+00
1.9309414850938534e+14 4.0941587930997470e-03 6.7946703744311714e+00
1.9322550507299719e+14 4.2740059451991403e-03 7.4363932263118109e+00
1.9335686163660900e+14 4.3089093136716430e-03 7.9353377263971598e+00
1.9348821820022084e+14 4.0023838360986261e-03 8.3121033563105016e+00
1.9361957476383266e+14 3.4426088446340201e-03 8.5538584583794535e+00
1.9375093132744450e+14 2.9725436823634247e-03 8.6233085497078790e+00
1.9388228789105631e+14 3.0339506283171848e-03 8.5970502737049159e+00
1.9401364445466816e+14 3.6421919440923537e-03 8.6953297213199132e+00
1.9414500101827997e+14 4.4206856042671248e-03 8.9750697923451330e+00
1.9427635758189181e+14 5.1128407571070528e-03 9.3851832175262633e+00
1.9440771414550362e+14 5.6725416901559425e-03 9.8844582069289313e+00
1.9453907070911547e+14 6.1743502492839619e-03 1.0441986186972873e+01
1.9467042727272728e+14 6.6908837376527010e-03 1.1025710850895440e+01
