nm	n	k				
788	1.980344	3.95E-4				
789	1.980278	3.95E-4				
790	1.980213	3.94E-4				
791	1.980147	3.93E-4				
792	1.980082	3.92E-4				
793	1.980017	3.92E-4				
794	1.979952	3.91E-4				
795	1.979888	3.9E-4				
796	1.979823	3.9E-4				
797	1.979759	3.89E-4				
798	1.979696	3.88E-4				
799	1.979632	3.88E-4				
800	1.979569	3.87E-4				
801	1.979506	3.86E-4				
802	1.979443	3.86E-4				
803	1.97938	3.85E-4				
804	1.979318	3.84E-4				
805	1.979256	3.84E-4				
806	1.979194	3.83E-4				
807	1.979132	3.82E-4				
808	1.97907	3.82E-4				
809	1.979009	3.81E-4				
810	1.978948	3.81E-4				
811	1.978887	3.8E-4				
812	1.978827	3.79E-4				
813	1.978766	3.79E-4				
814	1.978706	3.78E-4				
815	1.978646	3.77E-4				
816	1.978586	3.77E-4				
817	1.978527	3.76E-4				
818	1.978467	3.76E-4				
819	1.978408	3.75E-4				
820	1.978349	3.74E-4				
821	1.97829	3.74E-4				
822	1.978232	3.73E-4				
823	1.978174	3.73E-4				
824	1.978116	3.72E-4				
825	1.978058	3.71E-4				
826	1.978	3.71E-4				
827	1.977942	3.7E-4				
828	1.977885	3.7E-4				
829	1.977828	3.69E-4				
830	1.977771	3.69E-4				
831	1.977714	3.68E-4				
832	1.977658	3.67E-4				
833	1.977602	3.67E-4				
834	1.977545	3.66E-4				
835	1.97749	3.66E-4				
836	1.977434	3.65E-4				
837	1.977378	3.65E-4				
838	1.977323	3.64E-4				
839	1.977268	3.64E-4				
840	1.977213	3.63E-4				
841	1.977158	3.62E-4				
842	1.977103	3.62E-4				
843	1.977049	3.61E-4				
844	1.976995	3.61E-4				
845	1.976941	3.6E-4				
846	1.976887	3.6E-4				
847	1.976833	3.59E-4				
848	1.97678	3.59E-4				
849	1.976726	3.58E-4				
850	1.976673	3.58E-4				
851	1.97662	3.57E-4				
852	1.976568	3.57E-4				
853	1.976515	3.56E-4				
854	1.976462	3.56E-4				
855	1.97641	3.55E-4				
856	1.976358	3.55E-4				
857	1.976306	3.54E-4				
858	1.976254	3.54E-4				
859	1.976203	3.53E-4				
860	1.976151	3.53E-4				
861	1.9761	3.52E-4				
862	1.976049	3.52E-4				
863	1.975998	3.51E-4				
864	1.975948	3.51E-4				
865	1.975897	3.5E-4				
866	1.975847	3.5E-4				
867	1.975796	3.49E-4				
868	1.975746	3.49E-4				
869	1.975696	3.48E-4				
870	1.975647	3.48E-4				
871	1.975597	3.47E-4				
872	1.975548	3.47E-4				
873	1.975499	3.46E-4				
874	1.975449	3.46E-4				
875	1.9754	3.45E-4				
876	1.975352	3.45E-4				
877	1.975303	3.45E-4				
878	1.975255	3.44E-4				
879	1.975206	3.44E-4				
880	1.975158	3.43E-4				
881	1.97511	3.43E-4				
882	1.975062	3.42E-4				
883	1.975015	3.42E-4				
884	1.974967	3.41E-4				
885	1.97492	3.41E-4				
886	1.974872	3.4E-4				
887	1.974825	3.4E-4				
888	1.974778	3.4E-4				
889	1.974732	3.39E-4				
890	1.974685	3.39E-4				
891	1.974638	3.38E-4				
892	1.974592	3.38E-4				
893	1.974546	3.37E-4				
894	1.9745	3.37E-4				
895	1.974454	3.37E-4				
896	1.974408	3.36E-4				
897	1.974362	3.36E-4				
898	1.974317	3.35E-4				
899	1.974272	3.35E-4				
900	1.974226	3.35E-4				
901	1.974181	3.34E-4				
902	1.974136	3.34E-4				
903	1.974092	3.33E-4				
904	1.974047	3.33E-4				
905	1.974002	3.32E-4				
906	1.973958	3.32E-4				
907	1.973914	3.32E-4				
908	1.97387	3.31E-4				
909	1.973826	3.31E-4				
910	1.973782	3.3E-4				
911	1.973738	3.3E-4				
912	1.973695	3.3E-4				
913	1.973651	3.29E-4				
914	1.973608	3.29E-4				
915	1.973565	3.29E-4				
916	1.973522	3.28E-4				
917	1.973479	3.28E-4				
918	1.973436	3.27E-4				
919	1.973393	3.27E-4				
920	1.973351	3.27E-4				
921	1.973308	3.26E-4				
922	1.973266	3.26E-4				
923	1.973224	3.25E-4				
924	1.973182	3.25E-4				
925	1.97314	3.25E-4				
926	1.973098	3.24E-4				
927	1.973057	3.24E-4				
928	1.973015	3.24E-4				
929	1.972974	3.23E-4				
930	1.972932	3.23E-4				
931	1.972891	3.23E-4				
932	1.97285	3.22E-4				
933	1.972809	3.22E-4				
934	1.972768	3.21E-4				
935	1.972728	3.21E-4				
936	1.972687	3.21E-4				
937	1.972647	3.2E-4				
938	1.972606	3.2E-4				
939	1.972566	3.2E-4				
940	1.972526	3.19E-4				
941	1.972486	3.19E-4				
942	1.972446	3.19E-4				
943	1.972407	3.18E-4				
944	1.972367	3.18E-4				
945	1.972327	3.18E-4				
946	1.972288	3.17E-4				
947	1.972249	3.17E-4				
948	1.972209	3.17E-4				
949	1.97217	3.16E-4				
950	1.972131	3.16E-4				
951	1.972093	3.16E-4				
952	1.972054	3.15E-4				
953	1.972015	3.15E-4				
954	1.971977	3.15E-4				
955	1.971938	3.14E-4				
956	1.9719	3.14E-4				
957	1.971862	3.14E-4				
958	1.971824	3.13E-4				
959	1.971786	3.13E-4				
960	1.971748	3.13E-4				
961	1.97171	3.12E-4				
962	1.971672	3.12E-4				
963	1.971635	3.12E-4				
964	1.971597	3.11E-4				
965	1.97156	3.11E-4				
966	1.971523	3.11E-4				
967	1.971486	3.11E-4				
968	1.971449	3.1E-4				
969	1.971412	3.1E-4				
970	1.971375	3.1E-4				
971	1.971338	3.09E-4				
972	1.971302	3.09E-4				
973	1.971265	3.09E-4				
974	1.971229	3.08E-4				
975	1.971192	3.08E-4				
976	1.971156	3.08E-4				
977	1.97112	3.07E-4				
978	1.971084	3.07E-4				
979	1.971048	3.07E-4				
980	1.971012	3.07E-4				
981	1.970976	3.06E-4				
982	1.970941	3.06E-4				
983	1.970905	3.06E-4				
984	1.97087	3.05E-4				
985	1.970834	3.05E-4				
986	1.970799	3.05E-4				
987	1.970764	3.05E-4				
988	1.970729	3.04E-4				
989	1.970694	3.04E-4				
990	1.970659	3.04E-4				
991	1.970624	3.03E-4				
992	1.97059	3.03E-4				
993	1.970555	3.03E-4				
994	1.970521	3.03E-4				
995	1.970486	3.02E-4				
996	1.970452	3.02E-4				
997	1.970418	3.02E-4				
998	1.970384	3.02E-4				
999	1.970349	3.01E-4				
1000	1.970315	3.01E-4				
1002.5	1.970231	3E-4				
1005	1.970147	3E-4				
1007.5	1.970064	2.99E-4				
1010	1.969981	2.98E-4				
1012.5	1.969898	2.98E-4				
1015	1.969817	2.97E-4				
1017.5	1.969735	2.96E-4				
1020	1.969654	2.96E-4				
1022.5	1.969574	2.95E-4				
1025	1.969494	2.95E-4				
1027.5	1.969415	2.94E-4				
1030	1.969336	2.93E-4				
1032.5	1.969258	2.93E-4				
1035	1.96918	2.92E-4				
1037.5	1.969103	2.92E-4				
1040	1.969026	2.91E-4				
1042.5	1.96895	2.9E-4				
1045	1.968874	2.9E-4				
1047.5	1.968799	2.89E-4				
1050	1.968724	2.89E-4				
1052.5	1.968649	2.88E-4				
1055	1.968575	2.88E-4				
1057.5	1.968501	2.87E-4				
1060	1.968428	2.86E-4				
1062.5	1.968355	2.86E-4				
1065	1.968283	2.85E-4				
1067.5	1.968211	2.85E-4				
1070	1.96814	2.84E-4				
1072.5	1.968069	2.84E-4				
1075	1.967998	2.83E-4				
1077.5	1.967928	2.83E-4				
1080	1.967858	2.82E-4				
1082.5	1.967788	2.82E-4				
1085	1.967719	2.81E-4				
1087.5	1.967651	2.81E-4				
1090	1.967582	2.8E-4				
1092.5	1.967515	2.8E-4				
1095	1.967447	2.79E-4				
1097.5	1.96738	2.79E-4				
1100	1.967313	2.79E-4				
1102.5	1.967247	2.78E-4				
1105	1.967181	2.78E-4				
1107.5	1.967115	2.77E-4				
1110	1.96705	2.77E-4				
